fips,state,county,rent_2br,median_price,breakeven_rent,monthly_gap,verdict
01003,Alabama,Baldwin County,1345.0,529767.0,2207.3625,-862.3625000000002,RENT
01005,Alabama,Barbour County,776.0,153595.0,639.9791666666666,136.02083333333337,BUY
01011,Alabama,Bullock County,776.0,131687.0,548.6958333333333,227.30416666666667,BUY
01013,Alabama,Butler County,837.0,250903.0,1045.4291666666668,-208.4291666666668,RENT
01015,Alabama,Calhoun County,962.0,331270.0,1380.2916666666667,-418.29166666666674,RENT
01017,Alabama,Chambers County,1002.0,222047.0,925.1958333333333,76.80416666666667,BUY
01019,Alabama,Cherokee County,844.0,225423.0,939.2625000000002,-95.26250000000016,RENT
01021,Alabama,Chilton County,970.0,243779.0,1015.7458333333334,-45.745833333333394,BORDERLINE
01023,Alabama,Choctaw County,778.0,247823.0,1032.5958333333335,-254.59583333333353,RENT
01025,Alabama,Clarke County,791.0,278466.0,1160.275,-369.2750000000001,RENT
01027,Alabama,Clay County,776.0,174866.0,728.6083333333335,47.39166666666654,BORDERLINE
01029,Alabama,Cleburne County,867.0,371783.0,1549.0958333333335,-682.0958333333335,RENT
01031,Alabama,Coffee County,933.0,378290.0,1576.2083333333333,-643.2083333333333,RENT
01033,Alabama,Colbert County,1000.0,306172.0,1275.7166666666667,-275.7166666666667,RENT
01035,Alabama,Conecuh County,776.0,298799.0,1244.9958333333334,-468.9958333333334,RENT
01037,Alabama,Coosa County,776.0,230928.0,962.2000000000002,-186.20000000000016,RENT
01039,Alabama,Covington County,776.0,232662.0,969.4250000000001,-193.42500000000007,RENT
01041,Alabama,Crenshaw County,776.0,108160.0,450.6666666666667,325.3333333333333,BUY
01043,Alabama,Cullman County,879.0,215280.0,897.0,-18.0,BORDERLINE
01045,Alabama,Dale County,776.0,180744.0,753.1,22.899999999999977,BORDERLINE
01047,Alabama,Dallas County,836.0,159488.0,664.5333333333334,171.46666666666658,BUY
01049,Alabama,DeKalb County,776.0,314375.0,1309.8958333333333,-533.8958333333333,RENT
01053,Alabama,Escambia County,776.0,165850.0,691.0416666666666,84.95833333333337,BUY
01055,Alabama,Etowah County,927.0,333577.0,1389.904166666667,-462.9041666666669,RENT
01057,Alabama,Fayette County,776.0,339796.0,1415.8166666666666,-639.8166666666666,RENT
01059,Alabama,Franklin County,776.0,427537.0,1781.404166666667,-1005.4041666666669,RENT
01061,Alabama,Geneva County,950.0,318139.0,1325.5791666666667,-375.57916666666665,RENT
01063,Alabama,Greene County,1140.0,277768.0,1157.3666666666668,-17.366666666666788,BORDERLINE
01065,Alabama,Hale County,1169.0,387393.0,1614.1375,-445.13750000000005,RENT
01067,Alabama,Henry County,878.0,335824.0,1399.2666666666667,-521.2666666666667,RENT
01069,Alabama,Houston County,950.0,191113.0,796.3041666666667,153.69583333333333,BUY
01071,Alabama,Jackson County,776.0,212779.0,886.5791666666668,-110.57916666666677,RENT
01075,Alabama,Lamar County,776.0,213666.0,890.2750000000001,-114.27500000000009,RENT
01077,Alabama,Lauderdale County,1000.0,284485.0,1185.3541666666667,-185.35416666666674,RENT
01079,Alabama,Lawrence County,961.0,399462.0,1664.4250000000002,-703.4250000000002,RENT
01081,Alabama,Lee County,1181.0,134154.0,558.975,622.025,BUY
01083,Alabama,Limestone County,1310.0,217938.0,908.0750000000002,401.92499999999984,BUY
01087,Alabama,Macon County,995.0,310999.0,1295.8291666666667,-300.82916666666665,RENT
01089,Alabama,Madison County,1310.0,473719.0,1973.8291666666667,-663.8291666666667,RENT
01091,Alabama,Marengo County,783.0,142063.0,591.9291666666667,191.07083333333333,BUY
01093,Alabama,Marion County,776.0,165128.0,688.0333333333333,87.9666666666667,BUY
01095,Alabama,Marshall County,776.0,207592.0,864.9666666666667,-88.9666666666667,RENT
01099,Alabama,Monroe County,776.0,248684.0,1036.1833333333334,-260.1833333333334,RENT
01103,Alabama,Morgan County,961.0,253136.0,1054.7333333333333,-93.73333333333335,RENT
01105,Alabama,Perry County,803.0,297795.0,1240.8125,-437.8125,RENT
01107,Alabama,Pickens County,776.0,138876.0,578.65,197.35000000000002,BUY
01109,Alabama,Pike County,912.0,295859.0,1232.7458333333334,-320.7458333333334,RENT
01111,Alabama,Randolph County,778.0,136164.0,567.35,210.64999999999998,BUY
01113,Alabama,Russell County,1088.0,414074.0,1725.3083333333334,-637.3083333333334,RENT
01119,Alabama,Sumter County,827.0,192246.0,801.0250000000001,25.97499999999991,BORDERLINE
01121,Alabama,Talladega County,814.0,273686.0,1140.3583333333333,-326.35833333333335,RENT
01123,Alabama,Tallapoosa County,857.0,327618.0,1365.075,-508.07500000000005,RENT
01125,Alabama,Tuscaloosa County,1169.0,389572.0,1623.216666666667,-454.2166666666669,RENT
01127,Alabama,Walker County,886.0,243889.0,1016.2041666666668,-130.20416666666677,RENT
01129,Alabama,Washington County,983.0,321950.0,1341.4583333333333,-358.45833333333326,RENT
01131,Alabama,Wilcox County,843.0,119730.0,498.875,344.125,BUY
01133,Alabama,Winston County,776.0,296410.0,1235.0416666666667,-459.04166666666674,RENT
02013,Alaska,Aleutians East Borough,1385.0,405753.0,1690.6375,-305.63750000000005,RENT
02016,Alaska,Aleutians West Census Area,2191.0,705625.0,2940.1041666666665,-749.1041666666665,RENT
02020,Alaska,Anchorage Municipality,1631.0,467050.0,1946.0416666666667,-315.04166666666674,RENT
02050,Alaska,Bethel Census Area,1938.0,659827.0,2749.2791666666667,-811.2791666666667,RENT
02060,Alaska,Bristol Bay Borough,1243.0,385382.0,1605.7583333333334,-362.75833333333344,RENT
02063,Alaska,Chugach Census Area,1506.0,548610.0,2285.875,-779.875,RENT
02066,Alaska,Copper River Census Area,1130.0,324679.0,1352.8291666666667,-222.82916666666665,RENT
02068,Alaska,Denali Borough,1187.0,539960.0,2249.8333333333335,-1062.8333333333335,RENT
02070,Alaska,Dillingham Census Area,1247.0,378817.0,1578.404166666667,-331.4041666666669,RENT
02090,Alaska,Fairbanks North Star Borough,1676.0,567703.0,2365.429166666667,-689.4291666666668,RENT
02100,Alaska,Haines Borough,1321.0,353474.0,1472.8083333333334,-151.8083333333334,RENT
