fips,state,county,rent_2br,median_price
01001,Alabama,Autauga County,,
01003,Alabama,Baldwin County,1345,
01005,Alabama,Barbour County,776,
01007,Alabama,Bibb County,,
01009,Alabama,Blount County,,
01011,Alabama,Bullock County,776,
01013,Alabama,Butler County,837,
01015,Alabama,Calhoun County,962,
01017,Alabama,Chambers County,1002,
01019,Alabama,Cherokee County,844,
01021,Alabama,Chilton County,970,
01023,Alabama,Choctaw County,778,
01025,Alabama,Clarke County,791,
01027,Alabama,Clay County,776,
01029,Alabama,Cleburne County,867,
01031,Alabama,Coffee County,933,
01033,Alabama,Colbert County,1000,
01035,Alabama,Conecuh County,776,
01037,Alabama,Coosa County,776,
01039,Alabama,Covington County,776,
01041,Alabama,Crenshaw County,776,
01043,Alabama,Cullman County,879,
01045,Alabama,Dale County,776,
01047,Alabama,Dallas County,836,
01049,Alabama,DeKalb County,776,
01051,Alabama,Elmore County,,
01053,Alabama,Escambia County,776,
01055,Alabama,Etowah County,927,
01057,Alabama,Fayette County,776,
01059,Alabama,Franklin County,776,
01061,Alabama,Geneva County,950,
01063,Alabama,Greene County,1140,
01065,Alabama,Hale County,1169,
01067,Alabama,Henry County,878,
01069,Alabama,Houston County,950,
01071,Alabama,Jackson County,776,
01073,Alabama,Jefferson County,,
01075,Alabama,Lamar County,776,
01077,Alabama,Lauderdale County,1000,
01079,Alabama,Lawrence County,961,
01081,Alabama,Lee County,1181,
01083,Alabama,Limestone County,1310,
01085,Alabama,Lowndes County,,
01087,Alabama,Macon County,995,
01089,Alabama,Madison County,1310,
01091,Alabama,Marengo County,783,
01093,Alabama,Marion County,776,
01095,Alabama,Marshall County,776,
01097,Alabama,Mobile County,,
01099,Alabama,Monroe County,776,
01101,Alabama,Montgomery County,,
01103,Alabama,Morgan County,961,
01105,Alabama,Perry County,803,
01107,Alabama,Pickens County,776,
01109,Alabama,Pike County,912,
01111,Alabama,Randolph County,778,
01113,Alabama,Russell County,1088,
01117,Alabama,Shelby County,,
01115,Alabama,St. Clair County,,
01119,Alabama,Sumter County,827,
01121,Alabama,Talladega County,814,
01123,Alabama,Tallapoosa County,857,
01125,Alabama,Tuscaloosa County,1169,
01127,Alabama,Walker County,886,
01129,Alabama,Washington County,983,
01131,Alabama,Wilcox County,843,
01133,Alabama,Winston County,776,
02013,Alaska,Aleutians East Borough,1385,
02016,Alaska,Aleutians West Census Area,2191,
02020,Alaska,Anchorage Municipality,1631,
02050,Alaska,Bethel Census Area,1938,
02060,Alaska,Bristol Bay Borough,1243,
02063,Alaska,Chugach Census Area,1506,
02066,Alaska,Copper River Census Area,1130,
02068,Alaska,Denali Borough,1187,
02070,Alaska,Dillingham Census Area,1247,
02090,Alaska,Fairbanks North Star Borough,1676,
02100,Alaska,Haines Borough,1321,
02105,Alaska,Hoonah-Angoon Census Area,1460,
02110,Alaska,Juneau City and Borough,1758,
02122,Alaska,Kenai Peninsula Borough,1312,
02130,Alaska,Ketchikan Gateway Borough,1625,
02150,Alaska,Kodiak Island Borough,2075,
02158,Alaska,Kusilvak Census Area,973,
02164,Alaska,Lake and Peninsula Borough,1030,
02170,Alaska,Matanuska-Susitna Borough,1376,
02180,Alaska,Nome Census Area,1533,
02185,Alaska,North Slope Borough,1625,
02188,Alaska,Northwest Arctic Borough,1930,
02195,Alaska,Petersburg Borough,1463,
02198,Alaska,Prince of Wales-Hyder Census Area,1153,
02220,Alaska,Sitka City and Borough,1566,
02230,Alaska,Skagway Municipality,1644,
02240,Alaska,Southeast Fairbanks Census Area,1313,
02275,Alaska,Wrangell City and Borough,1217,
02282,Alaska,Yakutat City and Borough,1388,
02290,Alaska,Yukon-Koyukuk Census Area,1126,
60999,American Samoa,American Samoa,919,
04001,Arizona,Apache County,1175,
04003,Arizona,Cochise County,1257,
04005,Arizona,Coconino County,1921,
04007,Arizona,Gila County,1479,
04009,Arizona,Graham County,1244,
04011,Arizona,Greenlee County,1158,
04012,Arizona,La Paz County,1153,
04013,Arizona,Maricopa County,,
04015,Arizona,Mohave County,1365,
04017,Arizona,Navajo County,1309,
04019,Arizona,Pima County,,
04021,Arizona,Pinal County,,
04023,Arizona,Santa Cruz County,1129,
04025,Arizona,Yavapai County,1637,
04027,Arizona,Yuma County,1382,
05001,Arkansas,Arkansas County,922,
05003,Arkansas,Ashley County,880,
05005,Arkansas,Baxter County,964,
05007,Arkansas,Benton County,1347,
05009,Arkansas,Boone County,880,
05011,Arkansas,Bradley County,880,
05013,Arkansas,Calhoun County,1011,
05015,Arkansas,Carroll County,954,
05017,Arkansas,Chicot County,880,
05019,Arkansas,Clark County,880,
05021,Arkansas,Clay County,880,
05023,Arkansas,Cleburne County,955,
05025,Arkansas,Cleveland County,880,
05027,Arkansas,Columbia County,903,
05029,Arkansas,Conway County,880,
05031,Arkansas,Craighead County,1040,
05033,Arkansas,Crawford County,937,
05035,Arkansas,Crittenden County,,
05037,Arkansas,Cross County,880,
05039,Arkansas,Dallas County,880,
05041,Arkansas,Desha County,880,
05043,Arkansas,Drew County,927,
05045,Arkansas,Faulkner County,1147,
05047,Arkansas,Franklin County,880,
05049,Arkansas,Fulton County,880,
05051,Arkansas,Garland County,1090,
05053,Arkansas,Grant County,968,
05055,Arkansas,Greene County,905,
05057,Arkansas,Hempstead County,908,
05059,Arkansas,Hot Spring County,880,
05061,Arkansas,Howard County,883,
05063,Arkansas,Independence County,891,
05065,Arkansas,Izard County,880,
05067,Arkansas,Jackson County,880,
05069,Arkansas,Jefferson County,937,
05071,Arkansas,Johnson County,,
05073,Arkansas,Lafayette County,880,
05075,Arkansas,Lawrence County,880,
05077,Arkansas,Lee County,880,
05079,Arkansas,Lincoln County,880,
05081,Arkansas,Little River County,880,
05083,Arkansas,Logan County,880,
05085,Arkansas,Lonoke County,1147,
05087,Arkansas,Madison County,1347,
05089,Arkansas,Marion County,908,
05091,Arkansas,Miller County,1101,
05093,Arkansas,Mississippi County,880,
05095,Arkansas,Monroe County,880,
05097,Arkansas,Montgomery County,880,
05099,Arkansas,Nevada County,911,
