fips,state,county,rent_2br,median_price,breakeven_rent,monthly_gap,verdict
1003,Alabama,Baldwin County,1345.0,405942.0,1691.4250000000002,-346.4250000000002,RENT
1005,Alabama,Barbour County,776.0,213329.0,888.8708333333334,-112.8708333333334,RENT
1011,Alabama,Bullock County,776.0,211313.0,880.4708333333334,-104.47083333333342,RENT
1013,Alabama,Butler County,837.0,244214.0,1017.5583333333334,-180.5583333333334,RENT
1015,Alabama,Calhoun County,962.0,264493.0,1102.0541666666668,-140.0541666666668,RENT
1017,Alabama,Chambers County,1002.0,262174.0,1092.3916666666667,-90.39166666666665,RENT
1019,Alabama,Cherokee County,844.0,230109.0,958.7875,-114.78750000000002,RENT
1021,Alabama,Chilton County,970.0,280564.0,1169.0166666666667,-199.01666666666665,RENT
1023,Alabama,Choctaw County,778.0,211872.0,882.8000000000001,-104.80000000000007,RENT
1025,Alabama,Clarke County,791.0,242411.0,1010.0458333333335,-219.04583333333346,RENT
1027,Alabama,Clay County,776.0,216379.0,901.5791666666668,-125.57916666666677,RENT
1029,Alabama,Cleburne County,867.0,252005.0,1050.0208333333333,-183.02083333333326,RENT
1031,Alabama,Coffee County,933.0,264333.0,1101.3875,-168.38750000000005,RENT
1033,Alabama,Colbert County,1000.0,245639.0,1023.4958333333334,-23.495833333333394,BORDERLINE
1035,Alabama,Conecuh County,776.0,177364.0,739.0166666666668,36.983333333333235,BORDERLINE
1037,Alabama,Coosa County,776.0,233429.0,972.6208333333334,-196.6208333333334,RENT
1039,Alabama,Covington County,776.0,237739.0,990.5791666666668,-214.57916666666677,RENT
1041,Alabama,Crenshaw County,776.0,254306.0,1059.6083333333333,-283.60833333333335,RENT
1043,Alabama,Cullman County,879.0,238073.0,991.9708333333334,-112.97083333333342,RENT
1045,Alabama,Dale County,776.0,212148.0,883.9500000000002,-107.95000000000016,RENT
1047,Alabama,Dallas County,836.0,258441.0,1076.8375,-240.8375000000001,RENT
1049,Alabama,DeKalb County,776.0,249930.0,1041.375,-265.375,RENT
1053,Alabama,Escambia County,776.0,194609.0,810.8708333333334,-34.870833333333394,BORDERLINE
1055,Alabama,Etowah County,927.0,261557.0,1089.8208333333334,-162.82083333333344,RENT
1057,Alabama,Fayette County,776.0,221745.0,923.9375,-147.9375,RENT
1059,Alabama,Franklin County,776.0,228999.0,954.1625,-178.16250000000002,RENT
1061,Alabama,Geneva County,950.0,267344.0,1113.9333333333334,-163.9333333333334,RENT
1063,Alabama,Greene County,1140.0,334628.0,1394.2833333333335,-254.28333333333353,RENT
1065,Alabama,Hale County,1169.0,378975.0,1579.0625,-410.0625,RENT
1067,Alabama,Henry County,878.0,244007.0,1016.6958333333333,-138.69583333333333,RENT
1069,Alabama,Houston County,950.0,276815.0,1153.3958333333333,-203.39583333333326,RENT
